Name,classification,Age,OverallScore
Anthony Edwards,College,18.87,5.34
James Wiseman,College,19.22,7.95
Patrick Williams,College,18.87,4.79
Isaac Okoro,College,19.39,4.97
Onyeka Okongwu,College,19.52,7.57
Obi Toppin,College,22.29,7.8
Jalen Smith,College,20.26,7.4
Devin Vassell,College,19.82,6.1
Tyrese Haliburton,College,20.3,7.82
Kira Lewis Jr.,College,19.2,6.5
Aaron Nesmith,College,20.67,6.69
Cole Anthony,College,20.1,5.22
Isaiah Stewart,College,19.08,6.62
Josh Green,College,19.59,5.3
Saddiq Bey,College,21.19,5.68
Precious Achiuwa,College,20.75,6.08
Tyrese Maxey,College,19.62,4.82
Zeke Nnaji,College,19.44,6.43
Immanuel Quickley,College,21.01,5.58
Payton Pritchard,College,22.39,7.22
Udoka Azubuike,College,20.75,7.55
Jaden McDaniels,College,19.72,4.73
Malachi Flynn,College,22.11,7.31
Desmond Bane,College,21.98,6.59
Tyrell Terry,College,19.72,6.16
Vernon Carey Jr.,College,19.31,7.29
Daniel Oturu,College,20.75,7.64
Xavier Tillman,College,21.43,7.27
Tyler Bey,College,22.35,7.06
Saben Lee,College,20.99,5.72
Elijah Hughes,College,22.28,5.74
Robert Woodard II,College,20.74,4.99
Tre Jones,College,20.44,6.47
Nick Richards,College,22.55,6.0
Jahmi'us Ramsey,College,19.03,5.26
Jordan Nwora,College,21.78,5.84
CJ Elleby,College,20.01,6.19
Nico Mannion,College,19.26,5.17
Isaiah Joe,College,20.96,4.8
Skylar Mays,College,22.62,6.44
Justinian Jessup,College,22.07,5.77
Cassius Winston,College,22.3,6.58
Cassius Stanley,College,20.84,4.68
Grant Riller,College,23.36,6.84
Reggie Perry,College,20.25,6.78
Paul Reed,College,21.01,7.17
Jalen Harris,College,21.85,6.19
Sam Merrill,College,24.09,6.54
Devon Dotson,College,20.88,7.14
Ashton Hagans,College,20.95,5.48
Markus Howard,College,21.3,7.02
Mason Jones,College,21.91,7.1
Anfernee McLemore,College,22.0,3.29
Myles Powell,College,22.95,5.22
Trevelin Queen,College,23.31,5.77
Jon Teske,College,23.13,4.88
Killian Tillie,College,22.29,6.05
Tres Tinkle,College,24.04,6.04
Kaleb Wesson,College,20.89,6.27
Kahlil Whitney,College,19.44,0.41
Austin Wiley,College,21.44,5.04
LaMelo Ball,International,18.82,6.09
Killian Hayes,International,18.9,6.37
Deni Avdija,International,19.46,4.87
Aleksej Pokuševski,International,18.48,5.83
Leandro Bolmaro,International,19.77,4.5
RJ Hampton,International,19.36,4.81
Theo Maledon,International,19.02,4.51
Vít Krejčí,International,20.0,3.67
Marko Simonović,International,20.68,6.22
Yam Madar,International,19.49,5.03
Paul Eboua,International,20.34,4.19
Abdoulaye N'Doye,International,22.28,5.69
Borisa Simanic,International,22.25,4.57
