Name,Archetype,Comp1,Comp2,Comp3,Comp1_AllStars,Comp2_AllStars,Comp3_AllStars,UpsideRaw,Upside01,UpsideScore
Anthony Edwards,2,Paul George,Jayson Tatum,Zach LaVine,9.0,5.0,2.0,5.594810122976994,0.6215996403305387,6.22
James Wiseman,5,Hassan Whiteside,Mitchell Robinson,Anthony Davis,0.0,0.0,9.0,2.9022299190909973,0.32244616603781584,3.22
Patrick Williams,5,Gorgui Dieng,Gorgui Dieng,Gorgui Dieng,0.0,0.0,0.0,0.0,0.0,0.0
Isaac Okoro,8,James Johnson,Shai Gilgeous-Alexander,Nemanja Bjelica,0.0,2.0,0.0,0.6599679682871781,0.07332435644816845,0.73
Onyeka Okongwu,5,Anthony Davis,Jonathan Isaac,Mitchell Robinson,9.0,0.0,0.0,3.3505812052952226,0.3722592950127787,3.72
Obi Toppin,2,Karl-Anthony Towns,John Collins,Jayson Tatum,4.0,0.0,5.0,3.0288186600823623,0.33651054251182183,3.37
Jalen Smith,5,Anthony Davis,Hassan Whiteside,Rudy Gobert,9.0,0.0,3.0,4.072277949910097,0.45244189764266446,4.52
Devin Vassell,5,Jae Crowder,OG Anunoby,Gorgui Dieng,0.0,0.0,0.0,0.0,0.0,0.0
Tyrese Haliburton,2,Ben Simmons,Jimmy Butler,Chris Paul,3.0,6.0,12.0,6.9173040123177705,0.7685325492021885,7.69
Kira Lewis Jr.,2,Jrue Holiday,Kyle Lowry,Jimmy Butler,2.0,6.0,6.0,4.5545589841289225,0.5060247200833207,5.06
Aaron Nesmith,2,Jayson Tatum,T.J. Warren,Norman Powell,5.0,0.0,0.0,1.7719882773009668,0.19687303976888532,1.97
Cole Anthony,2,Paul George,Zach LaVine,Caris LeVert,9.0,2.0,0.0,3.947534869537406,0.43858257941934486,4.39
Isaiah Stewart,5,Kristaps Porziņģis,John Collins,Myles Turner,1.0,0.0,0.0,0.35019639928579577,0.038907836201109894,0.39
Josh Green,8,Donte DiVincenzo,Delon Wright,Marcus Smart,0.0,0.0,0.0,0.0,0.0,0.0
Saddiq Bey,8,Gordon Hayward,Danilo Gallinari,Norman Powell,1.0,0.0,0.0,0.3338707515035115,0.037094009356843156,0.37
Precious Achiuwa,5,Andre Drummond,Kristaps Porziņģis,Anthony Davis,2.0,1.0,9.0,3.994739292184094,0.4438271277586509,4.44
Tyrese Maxey,4,Shai Gilgeous-Alexander,Eric Bledsoe,Alec Burks,2.0,0.0,0.0,0.687047592453686,0.07633298127585623,0.76
Zeke Nnaji,5,Christian Wood,Jonas Valančiūnas,Serge Ibaka,0.0,0.0,0.0,0.0,0.0,0.0
Immanuel Quickley,8,Danilo Gallinari,Norman Powell,Jordan Clarkson,0.0,0.0,0.0,0.0,0.0,0.0
Payton Pritchard,2,Kyrie Irving,Chris Paul,Kawhi Leonard,8.0,12.0,6.0,8.669585650070742,0.9632161241302832,9.63
Udoka Azubuike,5,Hassan Whiteside,Rudy Gobert,Mitchell Robinson,0.0,3.0,0.0,1.0011369348386465,0.11122921867564506,1.11
Jaden McDaniels,5,James Johnson,Jaren Jackson Jr.,James Johnson,0.0,1.0,0.0,0.3296013814825214,0.036619669958158914,0.37
Malachi Flynn,2,Kawhi Leonard,Chris Paul,Jimmy Butler,6.0,12.0,6.0,8.005548054862778,0.8894396203215009,8.89
Desmond Bane,2,Paul George,Kawhi Leonard,Jimmy Butler,9.0,6.0,6.0,7.109556650009594,0.7898923751507136,7.9
Tyrell Terry,2,Paul George,Khris Middleton,Chris Paul,9.0,3.0,12.0,8.045323638200347,0.8938588030556979,8.94
Vernon Carey Jr.,5,John Collins,Anthony Davis,Joel Embiid,0.0,9.0,7.0,5.3124625883442995,0.5902300098840796,5.9
Daniel Oturu,5,Anthony Davis,Hassan Whiteside,Kristaps Porziņģis,9.0,0.0,1.0,3.625460250463441,0.40279915460680715,4.03
Xavier Tillman,5,Anthony Davis,Jusuf Nurkić,Jonathan Isaac,9.0,0.0,0.0,3.3755440425161134,0.37503273866807096,3.75
Tyler Bey,5,Steven Adams,Jayson Tatum,Anthony Davis,0.0,5.0,9.0,4.660150918704084,0.5177562904335226,5.18
Saben Lee,2,De'Aaron Fox,Paul George,Zach LaVine,1.0,9.0,2.0,3.9618142592656644,0.4401690610557408,4.4
Elijah Hughes,2,Jayson Tatum,Kemba Walker,Paul George,5.0,4.0,9.0,5.971624039345919,0.6634647599213772,6.63
