Name,classification,Age,OverallScore,Archetype,Comp1,Comp2,Comp3,Comp1_dist,Comp2_dist,Comp3_dist
Cade Cunningham,College,19.73,7.53,7,Paul George,LaMelo Ball,Kelly Olynyk,3.574815692385687,3.9787927621080295,4.02086348056997
Evan Mobley,College,20.0,8.86,1,Myles Turner,Anthony Davis,Rudy Gobert,5.399146588969363,5.818883959688465,5.8438254287097555
Scottie Barnes,College,19.88,5.15,7,Thaddeus Young,Ben Simmons,LaMelo Ball,3.4739956585552294,3.554113257937663,3.574766784679975
Jalen Suggs,College,19.99,7.32,7,LaMelo Ball,Ben Simmons,Delon Wright,3.9468714632713615,3.950912867944304,4.178450184869614
Franz Wagner,College,19.81,7.01,8,Kyle Anderson,Al Horford,De'Anthony Melton,3.8057488496024297,4.167358877483183,4.443067325953777
Davion Mitchell,College,22.79,6.84,7,T.J. McConnell,Jrue Holiday,Delon Wright,3.769307155204871,3.8388952378973418,3.9493209550294135
Ziaire Williams,College,19.77,2.76,5,Josh Jackson,Nickeil Alexander-Walker,Talen Horton-Tucker,2.150630952116165,2.816594081735314,2.9348061732313115
James Bouknight,College,20.75,5.51,7,Jaylen Brown,Jayson Tatum,Jordan Clarkson,3.445303314816841,3.626789646514033,3.649864324212353
Joshua Primo,College,18.48,3.11,8,Abdel Nader,Jae Crowder,Dylan Windler,2.1475854672659196,2.2462284406217283,2.425603851564961
Chris Duarte,College,24.01,7.56,7,OG Anunoby,Jrue Holiday,De'Anthony Melton,4.360553696764176,4.382210123859182,4.427855236932574
Moses Moody,College,19.05,5.82,5,De'Andre Hunter,Al Horford,Kyle Anderson,2.7013408249569704,2.764992899270965,2.920895064066404
Corey Kispert,College,22.3,7.2,8,Bogdan Bogdanović,Tobias Harris,Mikal Bridges,3.342154391946168,3.641640553991646,3.685366561008396
Trey Murphy III,College,21.0,5.33,8,Mikal Bridges,Gorgui Dieng,Jeremy Lamb,2.961215612759199,3.0411150301802117,3.046697288043849
Tre Mann,College,20.37,6.16,7,Gordon Hayward,Paul George,LaMelo Ball,2.8932578488234326,3.011780471303084,3.059542389892018
Kai Jones,College,20.42,5.0,8,Gorgui Dieng,Daniel Theis,Xavier Tillman Sr.,3.2221197316349506,3.32525472041008,3.4155713223474127
Jalen Johnson,College,19.5,5.74,7,Jusuf Nurkić,Anthony Davis,DeMarcus Cousins,3.733238027912559,4.255739505904877,4.276966512698219
Keon Johnson,College,19.28,3.97,7,Talen Horton-Tucker,De'Anthony Melton,Nickeil Alexander-Walker,2.644434838734015,3.1543878018806932,3.1679848775164636
Isaiah Jackson,College,19.44,5.19,1,Nerlens Noel,Robert Williams,Myles Turner,4.450866362477912,5.246582697208073,5.575931233906337
Josh Christopher,College,19.53,4.04,5,OG Anunoby,De'Anthony Melton,Nickeil Alexander-Walker,2.5579015461032046,2.661904353113627,2.7340460450330664
Quentin Grimes,College,21.12,6.7,7,OG Anunoby,Kyle Anderson,Bogdan Bogdanović,3.881155574016576,3.909251708437186,3.91929676136308
Nah'Shon Hyland,College,20.76,6.94,7,Victor Oladipo,Kawhi Leonard,Jaylen Brown,4.146735996046798,4.237259959370185,4.4148013467469704
Cameron Thomas,College,19.68,5.11,5,Jordan Clarkson,Malik Beasley,Norman Powell,2.5234797823216946,2.893430965962648,3.18476363758824
Jaden Springer,College,18.73,5.67,7,De'Anthony Melton,Derrick Rose,Talen Horton-Tucker,2.9153561949735263,3.3477400600583844,3.3856823157929097
Day'Ron Sharpe,College,19.62,3.97,1,Mason Plumlee,JaVale McGee,Andre Drummond,4.169558634056732,4.26581098532735,4.321651492285257
Santi Aldama,College,20.44,7.34,7,Anthony Davis,Joel Embiid,Karl-Anthony Towns,3.1115812813625388,3.4409060683885717,3.5130657858397307
Jeremiah Robinson-Earl,College,20.62,5.65,7,Al Horford,Kelly Olynyk,Tobias Harris,2.7124162656501256,2.909843229140725,3.086032525162892
