Name,classification,Age,pg::PTS,pg::AST,pg::TRB,pg::STL,pg::BLK,pg::TOV,pg::FG%,pg::3P%,pg::FT%,adv::PER,adv::TS%,adv::OBPM,adv::DBPM,adv::BPM,adv::OWS,adv::DWS,adv::WS/40,OverallScore,Upside01,UpsideScore,Comp1,Comp2,Comp3,pg01,adv01,age01,UpdatedOverall01,UpdatedOverall
Cade Cunningham,College,19.73,0.813953488372093,0.4025974025974027,0.4905660377358491,0.7647058823529412,0.24242424242424246,0.9444444444444444,0.1987577639751553,0.4000000000000001,0.8080568720379145,0.4814814814814815,0.5173913043478258,0.5211267605633803,0.5194805194805194,0.5970149253731344,0.48387096774193544,0.5384615384615385,0.5303643724696357,7.53,0.3347540014347696,3.35,Paul George,LaMelo Ball,Kelly Olynyk,1.0,0.5873851059147557,0.7739602169981917,0.7155584330403443,7.16
Evan Mobley,College,20.0,0.6418604651162789,0.25974025974025977,0.7264150943396226,0.2941176470588236,0.8787878787878789,0.4444444444444445,0.6335403726708074,0.3,0.44786729857819896,0.7592592592592593,0.7347826086956519,0.7183098591549295,0.8571428571428571,1.0,0.8064516129032258,0.8846153846153847,0.8623481781376521,8.86,0.3676767425279908,3.68,Myles Turner,Anthony Davis,Rudy Gobert,0.8894026988454923,1.0,0.7251356238698012,0.8302334378108749,8.3
Scottie Barnes,College,19.88,0.35813953488372086,0.4805194805194805,0.28301886792452835,0.7058823529411764,0.15151515151515155,0.5277777777777778,0.4006211180124224,0.2750000000000001,0.27488151658767773,0.474074074074074,0.4043478260869566,0.4647887323943662,0.5714285714285715,0.5671641791044777,0.3548387096774193,0.2692307692307693,0.522267206477733,5.15,0.1247940837376893,1.25,Thaddeus Young,Ben Simmons,LaMelo Ball,0.5671258984610951,0.4946721801820554,0.746835443037975,0.48120958036729417,4.81
Jalen Suggs,College,19.99,0.5488372093023255,0.5324675324675325,0.40566037735849053,0.9411764705882353,0.09090909090909094,0.6388888888888888,0.4006211180124224,0.3370000000000001,0.590047393364929,0.5185185185185186,0.6086956521739127,0.49999999999999994,0.7012987012987012,0.6791044776119404,0.5161290322580645,0.6923076923076924,0.708502024291498,7.32,0.128006654717661,1.28,LaMelo Ball,Ben Simmons,Delon Wright,0.8351774274304903,0.7100826503347797,0.726943942133816,0.6613856334594044,6.61
Franz Wagner,College,19.81,0.4604651162790697,0.3376623376623377,0.5188679245283019,0.5882352941176471,0.30303030303030304,0.19444444444444442,0.3198757763975155,0.343,0.7819905213270141,0.5,0.5739130434782606,0.5704225352112675,0.8961038961038962,0.8656716417910448,0.5483870967741935,0.653846153846154,0.708502024291498,7.01,0.1554106885403204,1.55,Kyle Anderson,Al Horford,De'Anthony Melton,0.6934638603884687,0.7799932575968525,0.7594936708860763,0.6417393399083885,6.42
Davion Mitchell,College,22.79,0.5302325581395347,0.6623376623376624,0.16037735849056606,0.9411764705882353,0.12121212121212123,0.5,0.42546583850931685,0.44700000000000006,0.3222748815165877,0.4888888888888889,0.7130434782608694,0.6126760563380281,0.5844155844155844,0.7313432835820896,0.6774193548387096,0.6153846153846154,0.7287449392712552,6.84,0.0630469446072802,0.63,T.J. McConnell,Jrue Holiday,Delon Wright,0.7480282002749045,0.7483713908497349,0.2206148282097653,0.5900422397904335,5.9
Ziaire Williams,College,19.77,0.37674418604651155,0.23376623376623384,0.33962264150943394,0.35294117647058826,0.18181818181818182,0.6388888888888888,0.0,0.291,0.6895734597156399,0.0962962962962963,0.0782608695652172,0.0774647887323943,0.2987012987012987,0.0,0.08064516129032254,0.2307692307692308,0.04453441295546554,2.76,0.0,0.0,Josh Jackson,Nickeil Alexander-Walker,Talen Horton-Tucker,0.49824259943410887,0.03080745257855955,0.766726943942134,0.2622876814999285,2.62
James Bouknight,College,20.75,0.7488372093023256,0.18181818181818188,0.4433962264150944,0.4705882352941177,0.09090909090909094,0.611111111111111,0.22670807453416156,0.293,0.6469194312796209,0.5444444444444444,0.3956521739130435,0.5915492957746478,0.4285714285714286,0.6194029850746269,0.3225806451612903,0.19230769230769235,0.5829959514170041,5.51,0.2524543466744822,2.52,Jaylen Brown,Jayson Tatum,Jordan Clarkson,0.6548612548117417,0.5049217079451181,0.5895117540687163,0.5261203149852959,5.26
Joshua Primo,College,18.48,0.255813953488372,0.05194805194805198,0.22641509433962262,0.1764705882352941,0.09090909090909094,0.22222222222222218,0.17701863354037267,0.381,0.580568720379147,0.17037037037037037,0.4782608695652171,0.27464788732394363,0.37662337662337664,0.25373134328358216,0.27419354838709675,0.3076923076923077,0.3643724696356276,3.11,0.0,0.0,Abdel Nader,Jae Crowder,Dylan Windler,0.283763521781876,0.29713755197434716,1.0,0.3011712359919171,3.01
Chris Duarte,College,24.01,0.6744186046511628,0.2987012987012988,0.33962264150943394,0.9411764705882353,0.24242424242424246,0.4722222222222222,0.49068322981366475,0.42400000000000004,0.7227488151658769,0.6666666666666667,0.8782608695652172,0.7253521126760563,0.5584415584415584,0.8358208955223881,0.6451612903225805,0.4230769230769231,0.7125506072874495,7.56,0.0629594325052915,0.63,OG Anunoby,Jrue Holiday,De'Anthony Melton,0.8818222531257657,0.7986462348267436,0.0,0.6406689217330729,6.41
