Name,Age,classification,Season,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,EFG%,3PAR,FTAR,NBA 3P%,AST/USG,AST/TO,OWS/40,DWS/40,ORTG,DRTG
Paolo Banchero,19.6,College,,F,39.0,39.0,33.0,6.3,13.2,0.478,1.1,3.3,0.338,5.2,9.8,0.525,0.52,3.5,4.8,0.729,1.7,6.1,7.8,3.2,1.1,0.9,2.4,1.9,17.2,24.2,0.557,0.253,0.366,665.0,6.4,19.1,13.2,17.5,1.9,2.7,13.3,27.5,4.0,2.2,6.1,0.191,5.4,2.3,7.7,0.52,0.253,0.366,0.343,0.64,1.35,0.124,0.068,113.8,98.1
Chet Holmgren,20.13,College,,C,32.0,31.0,26.9,5.3,8.8,0.607,1.3,3.3,0.39,4.0,5.5,0.737,0.68,2.2,3.1,0.717,1.8,8.1,9.9,1.9,0.8,3.7,1.9,2.7,14.1,31.3,0.691,0.375,0.354,424.0,8.0,28.7,19.6,11.4,1.6,12.6,15.7,21.6,3.3,3.1,6.3,0.294,7.5,7.5,15.0,0.68,0.375,0.354,0.351,0.53,1.0,0.153,0.144,127.0,78.7
Jabari Smith,19.1,College,,F,34.0,34.0,28.8,5.4,12.6,0.429,2.3,5.5,0.42,3.1,7.0,0.435,0.521,3.9,4.8,0.799,0.9,6.5,7.4,2.0,1.1,1.0,1.9,2.1,16.9,25.1,0.57,0.44,0.384,519.0,3.5,23.5,13.6,14.0,2.1,3.8,11.1,27.6,3.2,2.3,5.6,0.227,7.4,3.8,11.1,0.521,0.44,0.384,0.382,0.51,1.08,0.131,0.094,116.5,90.7
Keegan Murray,21.83,College,,F,35.0,35.0,31.9,8.8,15.8,0.554,1.9,4.7,0.398,6.9,11.1,0.621,0.614,4.1,5.4,0.747,2.9,5.8,8.7,1.5,1.3,1.9,1.1,1.9,23.5,37.8,0.638,0.3,0.343,724.0,9.8,20.2,14.9,10.1,2.3,6.4,5.7,29.7,6.6,2.0,8.7,0.311,13.0,2.7,15.7,0.614,0.3,0.343,0.362,0.34,1.33,0.237,0.072,134.6,96.8
Jaden Ivey,20.35,College,,G,36.0,34.0,31.4,5.6,12.3,0.46,1.8,5.0,0.358,3.9,7.3,0.531,0.533,4.3,5.8,0.744,0.7,4.2,4.9,3.1,0.9,0.6,2.6,1.8,17.3,22.5,0.579,0.406,0.469,586.0,2.7,15.0,9.3,19.2,1.7,2.0,14.8,28.7,3.7,1.4,5.1,0.181,5.7,1.6,7.2,0.533,0.406,0.469,0.359,0.67,1.17,0.131,0.049,114.7,102.5
Bennedict Mathurin,20.0,College,,G,37.0,37.0,32.5,5.9,13.1,0.45,2.2,6.1,0.369,3.6,7.0,0.521,0.536,3.7,4.8,0.764,1.4,4.2,5.6,2.5,1.0,0.3,1.8,1.8,17.7,21.1,0.576,0.465,0.368,600.0,5.1,12.6,9.3,13.8,1.6,0.8,10.4,25.1,4.0,2.2,6.2,0.205,6.1,1.9,8.0,0.536,0.465,0.368,0.37,0.55,1.42,0.133,0.073,119.7,96.8
Jeremy Sochan,19.08,College,,F,30.0,1.0,25.1,3.3,7.0,0.474,0.8,2.7,0.296,2.5,4.3,0.585,0.531,1.8,3.0,0.589,2.0,4.4,6.4,1.8,1.3,0.7,1.6,2.3,9.2,19.6,0.546,0.384,0.427,282.0,8.9,20.6,14.7,12.3,2.9,3.2,15.6,19.6,1.6,1.9,3.4,0.182,3.6,4.4,8.0,0.531,0.384,0.427,0.321,0.63,1.13,0.085,0.101,111.7,89.8
Johnny Davis,20.31,College,,G,31.0,31.0,34.2,6.8,15.9,0.427,1.2,3.9,0.306,5.6,12.0,0.466,0.464,5.0,6.3,0.791,1.3,6.9,8.2,2.1,1.2,0.7,2.3,2.0,19.7,24.3,0.523,0.246,0.398,577.0,4.3,23.8,13.8,14.8,2.0,2.3,10.8,32.5,2.5,2.0,4.5,0.171,5.8,3.0,8.9,0.464,0.246,0.398,0.351,0.46,0.93,0.094,0.075,105.8,95.8
Jalen Williams,21.18,College,,G,33.0,33.0,34.8,6.6,12.9,0.513,1.3,3.2,0.396,5.4,9.7,0.551,0.562,3.5,4.3,0.809,0.6,3.8,4.4,4.2,1.2,0.5,2.1,2.6,18.0,22.8,0.601,0.248,0.33,589.0,2.0,11.7,7.2,22.6,1.9,1.5,12.3,25.0,3.8,1.5,5.3,0.184,4.8,1.2,6.0,0.562,0.248,0.33,0.357,0.9,1.99,0.132,0.052,118.2,102.6
Jalen Duren,18.58,College,,C,29.0,29.0,25.3,4.9,8.1,0.597,0.0,0.0,0.0,4.9,8.1,0.6,0.597,2.2,3.6,0.625,3.0,5.2,8.1,1.3,0.8,2.1,2.2,2.7,12.0,25.3,0.608,0.004,0.441,330.0,14.0,21.5,18.0,10.5,1.8,9.9,18.6,22.8,1.8,1.7,3.5,0.19,3.7,3.3,7.1,0.597,0.004,0.441,0.307,0.46,0.57,0.098,0.093,112.6,91.9
