pick,team,player,acquired_from,Rk,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,win_pct
1,San Antonio Spurs,Victor Wembanyama,,30.0,23.9,22.0,60.0,19,63,-10.04,0.22,-9.82,110.2,120.0,-9.8,101.6,0.229,0.348,0.554,,0.525,13.0,25.6,0.17,0.576,12.0,74.9,0.201,0.2682926829268293
2,Charlotte Hornets,Brandon Miller,,27.0,25.3,27.0,55.0,26,56,-6.24,0.35,-5.89,109.2,115.3,-6.1,100.8,0.261,0.36,0.55,,0.516,12.3,23.8,0.195,0.544,12.5,75.5,0.211,0.32926829268292684
3,Portland Trail Blazers,Scoot Henderson,,26.0,25.1,33.0,49.0,31,51,-4.01,0.05,-3.96,114.8,118.8,-4.0,98.6,0.289,0.413,0.589,,0.549,13.1,22.4,0.23,0.563,12.1,74.9,0.217,0.4024390243902439
4,Houston Rockets,Amen Thompson,,28.0,22.1,22.0,60.0,23,59,-7.85,0.24,-7.62,111.4,119.3,-7.9,99.0,0.285,0.359,0.554,,0.516,14.0,30.2,0.215,0.564,11.8,75.8,0.218,0.2682926829268293
5,Detroit Pistons,Ausar Thompson,,29.0,24.1,17.0,65.0,22,60,-8.22,0.49,-7.73,110.7,118.9,-8.2,99.0,0.295,0.372,0.561,,0.52,13.3,24.9,0.227,0.557,11.9,74.0,0.231,0.2073170731707317
6,Orlando Magic,Anthony Black,,24.0,23.1,34.0,48.0,35,47,-2.56,0.17,-2.39,111.6,114.2,-2.6,99.3,0.29,0.361,0.573,,0.532,13.4,23.8,0.227,0.55,13.1,77.7,0.211,0.4146341463414634
7,Washington Wizards,Bilal Coulibaly,Indiana Pacers,23.0,26.2,35.0,47.0,38,44,-1.21,0.15,-1.06,114.4,115.6,-1.2,98.6,0.258,0.365,0.585,,0.55,12.7,22.6,0.202,0.54,11.0,76.1,0.194,0.4268292682926829
8,Indiana Pacers,Jarace Walker,Washington Wizards,25.0,24.5,35.0,47.0,33,49,-3.18,0.28,-2.91,114.6,117.7,-3.1,101.1,0.265,0.413,0.581,,0.545,13.0,23.4,0.209,0.554,13.0,72.2,0.229,0.4268292682926829
9,Utah Jazz,Taylor Hendricks,,22.0,26.5,37.0,45.0,39,43,-0.94,-0.09,-1.03,115.8,116.7,-0.9,100.5,0.265,0.421,0.584,,0.547,13.3,26.8,0.209,0.541,10.9,75.2,0.205,0.45121951219512196
10,Oklahoma City Thunder,Cason Wallace,Dallas Mavericks,14.0,22.8,40.0,42.0,44,38,1.09,-0.12,0.96,115.2,114.2,1.0,101.1,0.256,0.369,0.57,,0.531,11.2,24.7,0.207,0.547,14.4,72.9,0.222,0.4878048780487805
11,Orlando Magic,Jett Howard,,24.0,23.1,34.0,48.0,35,47,-2.56,0.17,-2.39,111.6,114.2,-2.6,99.3,0.29,0.361,0.573,,0.532,13.4,23.8,0.227,0.55,13.1,77.7,0.211,0.4146341463414634
12,Dallas Mavericks,Dereck Lively II,Oklahoma City Thunder,19.0,27.8,38.0,44.0,41,41,0.07,-0.22,-0.14,116.8,116.7,0.1,96.6,0.298,0.487,0.599,,0.565,11.4,18.0,0.225,0.549,11.9,75.5,0.226,0.4634146341463415
13,Toronto Raptors,Gradey Dick,,12.0,25.8,41.0,41.0,45,37,1.48,0.12,1.59,115.5,114.0,1.5,97.1,0.257,0.351,0.555,,0.517,10.3,27.8,0.201,0.565,15.3,76.7,0.223,0.5
14,New Orleans Pelicans,Jordan Hawkins,,10.0,25.9,42.0,40.0,46,36,1.89,-0.26,1.63,114.4,112.5,1.9,99.1,0.279,0.344,0.582,,0.543,12.9,24.7,0.221,0.543,13.4,77.4,0.212,0.5121951219512195
