Name,Archetype,Comp1,Comp2,Comp3,Comp1_dist,Comp2_dist,Comp3_dist
Brandon Miller,6,Kristaps Porziņģis,Karl-Anthony Towns,Kawhi Leonard,4.241380367070474,4.390529546633518,4.417611793367141
Anthony Black,3,Markelle Fultz,OG Anunoby,Victor Oladipo,3.8664172148144034,4.0169692447594185,4.072506733737594
Jarace Walker,1,Aleksej Pokusevski,Evan Mobley,Naz Reid,3.7044530180329622,4.1498623007376905,4.1956516136541815
Taylor Hendricks,1,Myles Turner,Kristaps Porziņģis,Aleksej Pokusevski,3.615629530316319,3.747104224900997,3.858117692582476
Cason Wallace,3,Delon Wright,Markelle Fultz,De'Anthony Melton,3.5432006496728756,3.663083296190686,3.702782438185785
Jett Howard,3,Bogdan Bogdanović,Alec Burks,Jerami Grant,2.8497854568121777,2.9500060741499685,3.0641724832810975
Dereck Lively II,1,Walker Kessler,Nic Claxton,Isaiah Jackson,5.149681640016433,5.371206264324052,5.6903649233956015
Gradey Dick,3,Cameron Johnson,Cameron Johnson,Buddy Hield,2.8411121961925225,2.9278065793890677,2.9733090613982274
Jordan Hawkins,3,Alec Burks,Norman Powell,Cameron Johnson,3.366252672685321,3.4180475307107496,3.421632529237145
Kobe Bufkin,3,Jalen Williams,Mikal Bridges,De'Anthony Melton,3.0535497686840287,3.0614668592390504,3.1237838284909185
Keyonte George,3,Terry Rozier,Kevin Porter Jr.,Tyler Herro,3.230155879139407,3.240741961118508,3.245189812575741
Jalen Hood-Schifino,3,Jaden Ivey,Talen Horton-Tucker,Gordon Hayward,2.031030317965891,2.0705039826888845,2.256854905175998
Jaime Jaquez Jr.,6,Kawhi Leonard,Bam Adebayo,Cameron Johnson,4.040905022360512,4.545754932468807,4.590258401488742
Brandin Podziemski,6,Kawhi Leonard,Paul George,Anthony Edwards,3.755286912034415,4.026013640044849,4.278662836407277
Cam Whitmore,3,Cameron Johnson,Buddy Hield,Kelly Oubre Jr.,3.299930483702792,3.422631264983257,3.4234703396215975
Noah Clowney,1,Naz Reid,Bol Bol,Jalen Johnson,3.756806970330937,3.905049682137422,3.963104677606866
Dariq Whitehead,8,Terence Davis,R.J. Hampton,Josh Richardson,2.508034754629889,2.716844806852619,2.732222094186464
Kris Murray,6,Kristaps Porziņģis,Christian Wood,Aaron Gordon,3.44271393565862,3.824155208278824,3.9976661206570934
Olivier-Maxence Prosper,8,Keita Bates-Diop,Saddiq Bey,Malik Beasley,2.59545017558585,2.610969750574101,2.653235809492895
Marcus Sasser,3,Donovan Mitchell,Kawhi Leonard,Cameron Johnson,4.405672833796957,4.4646225276330975,4.48671969402639
Ben Sheppard,3,Buddy Hield,Devin Vassell,Franz Wagner,2.4436984915808564,2.4662248417072585,2.8402140506120928
Nick Smith Jr.,3,Bones Hyland,Jaylen Nowell,Bones Hyland,2.3059290144038944,2.3544107929092704,2.421985609966304
Brice Sensabaugh,6,Mikal Bridges,Lauri Markkanen,Klay Thompson,3.782163746918078,3.9306178953647635,3.9469312057842565
