NBA_Player,Cluster,DistToCentroid,ArchetypeName
Precious Achiuwa,1,2.2880585603850383,1
Precious Achiuwa,7,2.6574589344959256,7
Precious Achiuwa,1,1.95018687393634,1
Bam Adebayo,1,3.437385430114136,1
Ochai Agbaji,5,2.336357615076186,5
Ochai Agbaji,2,1.9630973503244715,2
Ochai Agbaji,5,2.2255634667515944,5
Santi Aldama,7,2.245005611434544,7
Nickeil Alexander-Walker,7,1.33945874888501,7
Grayson Allen,7,2.4200973828362646,7
Jarrett Allen,1,3.159571458098953,1
Timmy Allen,5,3.922679211556239,5
Jose Alvarado,7,1.7131710792335197,7
Kyle Anderson,7,2.6657721305697843,7
Giannis Antetokounmpo,6,5.6092296252233345,6
Thanasis Antetokounmpo,5,6.079758656868399,5
Cole Anthony,7,1.7159246941877482,7
OG Anunoby,7,2.2691782271627186,7
OG Anunoby,7,1.8225724439415585,7
OG Anunoby,7,3.370508802619861,7
Ryan Arcidiacono,4,6.283179442184575,4
Deni Avdija,6,2.480857936565508,6
Deandre Ayton,1,3.2897589149273907,1
Udoka Azubuike,3,3.5573133319226415,3
Ibou Badji,3,5.082420077532827,3
Marvin Bagley III,1,2.722747923508853,1
Marvin Bagley III,3,2.5453125959310787,3
Marvin Bagley III,1,2.481426266520609,1
Amari Bailey,5,2.342753979815959,5
Patrick Baldwin Jr.,5,2.241267026373408,5
LaMelo Ball,6,4.344702018318888,6
Mo Bamba,3,2.92531277628337,3
Paolo Banchero,6,1.9643641005207175,6
Desmond Bane,6,1.2668747965970717,6
Dalano Banton,7,2.1110979743372416,7
Dalano Banton,5,1.7968713004528154,5
Dalano Banton,6,2.2076143893146316,6
Dominick Barlow,3,2.074952846672205,3
Harrison Barnes,2,1.9331536951884958,2
Scottie Barnes,6,3.555246560436934,6
RJ Barrett,6,2.485570425731477,6
RJ Barrett,7,3.0816557171155754,7
RJ Barrett,6,2.4720216189225055,6
Charles Bassey,3,4.442290622015357,3
Emoni Bates,5,3.5033205432848904,5
Keita Bates-Diop,2,1.7598848207285114,2
Keita Bates-Diop,2,2.035228754522145,2
Keita Bates-Diop,2,2.772316644903737,2
Nicolas Batum,7,1.968734552136991,7
Nicolas Batum,7,4.806070301452607,7
Nicolas Batum,7,1.9567317594096505,7
Darius Bazley,3,2.6055567559956705,3
Darius Bazley,4,7.679970783847171,4
Darius Bazley,1,2.9021820854920795,1
Bradley Beal,6,1.207110185736619,6
Malik Beasley,2,1.9931101835271985,2
MarJon Beauchamp,2,1.2623803020306665,2
Jules Bernard,2,2.3876151615685774,2
Dāvis Bertāns,2,1.6517405434753274,2
Dāvis Bertāns,2,3.1465498747879965,2
Dāvis Bertāns,2,1.9858405244661461,2
Patrick Beverley,7,1.3382991365035084,7
Patrick Beverley,7,1.6320809236697755,7
Patrick Beverley,7,1.534730278563116,7
Saddiq Bey,7,2.678317682488608,7
Goga Bitadze,3,3.0589014944575297,3
Onuralp Bitim,5,1.9065050544869557,5
Bismack Biyombo,3,2.847022222879407,3
Bismack Biyombo,3,3.3579185320727314,3
Bismack Biyombo,3,2.703545734117336,3
Anthony Black,2,2.099891914259392,2
