pick,team,player,acquired_from
1,Orlando Magic,Paolo Banchero,
2,Oklahoma City Thunder,Chet Holmgren,
3,Houston Rockets,Jabari Smith Jr.,
4,Sacramento Kings,Keegan Murray,
5,Detroit Pistons,Jaden Ivey,
6,Indiana Pacers,Bennedict Mathurin,
7,Portland Trail Blazers,Shaedon Sharpe,
8,New Orleans Pelicans,Dyson Daniels,Los Angeles Lakers
9,San Antonio Spurs,Jeremy Sochan,
10,Washington Wizards,Johnny Davis,
11,Oklahoma City Thunder,Ousmane Dieng,New York Knicks
12,Oklahoma City Thunder,Jalen Williams,Los Angeles Clippers
13,Detroit Pistons,Jalen Duren,Charlotte Hornets
14,Cleveland Cavaliers,Ochai Agbaji,
