pick,team,player,acquired_from
1,Atlanta Hawks,Zaccharie Risacher,
2,Washington Wizards,Alex Sarr,
3,Houston Rockets,Reed Sheppard,Brooklyn Nets
4,San Antonio Spurs,Stephon Castle,
5,Detroit Pistons,Ron Holland,
6,Charlotte Hornets,Tidjane Salaun,
7,Portland Trail Blazers,Donovan Clingan,
8,San Antonio Spurs,Rob Dillingham,Toronto Raptors
9,Memphis Grizzlies,Zach Edey,
10,Utah Jazz,Cody Williams,
11,Chicago Bulls,Matas Buzelis,
12,Oklahoma City Thunder,Nikola Topic,Houston Rockets
13,Sacramento Kings,Devin Carter,
14,Portland Trail Blazers,Carlton Carrington,Golden State Warriors
